"Fraction of Moon Illuminated, 2025",,,,,,,,,,,,
at Midnight,,,,,,,,,,,,
8.0 hours West of Greenwich,,,,,,,,,,,,
Day,1,2,3,4,5,6,7,8,9,10,11,12
1,0.02,0.1,0.02,0.12,0.18,0.32,0.36,0.48,0.6,0.63,0.77,0.81
2,0.07,0.18,0.07,0.21,0.27,0.42,0.46,0.58,0.7,0.73,0.86,0.9
3,0.13,0.28,0.15,0.31,0.37,0.52,0.55,0.67,0.78,0.82,0.93,0.96
4,0.22,0.39,0.24,0.42,0.48,0.62,0.64,0.76,0.86,0.89,0.98,0.99
5,0.32,0.5,0.35,0.53,0.58,0.71,0.73,0.83,0.93,0.95,1,1
6,0.43,0.61,0.46,0.63,0.67,0.79,0.81,0.9,0.97,0.99,0.99,0.97
7,0.54,0.72,0.57,0.73,0.76,0.86,0.88,0.95,1,1,0.95,0.92
8,0.65,0.81,0.68,0.81,0.84,0.92,0.93,0.99,1,0.98,0.89,0.84
9,0.75,0.89,0.77,0.88,0.9,0.96,0.97,1,0.97,0.93,0.8,0.75
10,0.85,0.95,0.85,0.94,0.95,0.99,1,0.99,0.91,0.86,0.7,0.66
11,0.92,0.98,0.92,0.97,0.98,1,1,0.95,0.83,0.76,0.6,0.56
12,0.97,1,0.96,1,1,0.99,0.98,0.89,0.74,0.66,0.49,0.46
13,0.99,0.99,0.99,1,0.99,0.96,0.93,0.81,0.63,0.55,0.39,0.36
14,1,0.97,1,0.98,0.97,0.91,0.87,0.71,0.51,0.44,0.29,0.27
15,0.98,0.93,0.99,0.95,0.94,0.84,0.79,0.6,0.4,0.33,0.21,0.19
16,0.94,0.87,0.96,0.9,0.88,0.76,0.69,0.49,0.3,0.24,0.14,0.12
17,0.88,0.8,0.92,0.84,0.81,0.66,0.58,0.37,0.2,0.16,0.08,0.07
18,0.81,0.72,0.86,0.76,0.72,0.55,0.47,0.27,0.12,0.09,0.03,0.03
19,0.73,0.63,0.79,0.67,0.62,0.44,0.35,0.17,0.06,0.04,0.01,0.01
20,0.64,0.54,0.7,0.58,0.52,0.33,0.25,0.1,0.02,0.01,0,0
21,0.55,0.44,0.61,0.47,0.41,0.23,0.15,0.04,0,0,0.01,0.02
22,0.46,0.35,0.52,0.37,0.3,0.13,0.08,0.01,0,0.01,0.04,0.05
23,0.36,0.25,0.42,0.26,0.2,0.06,0.03,0,0.02,0.03,0.08,0.1
24,0.27,0.17,0.31,0.17,0.11,0.02,0,0.01,0.06,0.07,0.14,0.17
25,0.19,0.1,0.22,0.09,0.05,0,0,0.05,0.11,0.13,0.22,0.25
26,0.12,0.04,0.13,0.03,0.01,0.01,0.03,0.1,0.18,0.2,0.31,0.35
27,0.06,0.01,0.06,0,0,0.05,0.07,0.16,0.26,0.28,0.4,0.45
28,0.02,0,0.02,0.01,0.02,0.11,0.14,0.24,0.34,0.37,0.51,0.56
29,0,--,0,0.04,0.07,0.18,0.21,0.32,0.44,0.47,0.61,0.67
30,0.01,--,0.01,0.1,0.14,0.27,0.3,0.41,0.53,0.57,0.72,0.77
31,0.04,--,0.05,--,0.23,--,0.39,0.51,--,0.67,--,0.86
